Famous	Unfamiliar	Scrambled
-0.003479438	-0.00545827	0.01296417
-0.003003206	-0.007444667	0.004599629
-0.002558293	-0.008070789	-0.0007740449
-0.002237082	-0.007976314	-0.003350847
-0.002035595	-0.007603651	-0.004204248
-0.001915394	-0.007229654	-0.004069078
-0.001839864	-0.00697169	-0.003500195
-0.001785615	-0.006836761	-0.00288067
-0.001740525	-0.006789451	-0.002386485
-0.001699016	-0.004070669	-0.002042005
-0.001658978	0.01049178	-0.001806943
-0.001620094	0.01742327	-0.001634593
-0.001581538	0.01667857	-0.001491098
-0.001543312	0.02127135	-0.001358498
-0.001505399	0.02159797	-0.001229139
-0.001467784	0.01659291	-0.00109973
-0.001430453	0.01197996	-0.0009706539
-0.001393402	0.008223319	-0.0008406834
-0.001347185	0.007506578	-0.0007099564
0.002685883	0.003134656	-0.0005785174
0.008966207	-0.003418248	-0.0004463685
0.007457815	-0.00761985	-0.0003135073
0.003165923	-0.009242837	-0.0001799464
0.000142111	-0.009409658	-4.822968e-05
-0.00138368	-0.008927798	7.903346e-05
-0.00196682	-0.008256721	0.0002073382
-0.002000171	-0.007648209	0.0003373056
-0.001768117	-0.007198432	0.0004635805
-0.00147945	-0.006901614	0.0005860285
-0.001242023	-0.006711204	0.0007077901
